,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
165,2020-04-02,Greenland,10,, ,,2,8,,176,,"
Mar 15 "
166,2020-04-02,Laos,10,+1, ,,,10,,1,,"
Mar 23 "
167,2020-04-02,Libya,10,, ,,,10,,1,,"
Mar 23 "
168,2020-04-02,Mozambique,10,+2, ,,,10,,0.3,,"
Mar 21 "
169,2020-04-02,Seychelles,10,, ,,,10,,102,,"
Mar 13 "
170,2020-04-02,Suriname,10,+1, ,,,10,,17,,"
Mar 12 "
171,2020-04-02,MS Zaandam,9,+7,2 ,+2,,7,,,,"
Mar 26 "
172,2020-04-02,Grenada,9,, ,,,9,,80,,"
Mar 21 "
173,2020-04-02,Guinea-Bissau,9,+1, ,,,9,,5,,"
Mar 24 "
174,2020-04-02,Eswatini,9,, ,,,9,,8,,"
Mar 13 "
175,2020-04-02,Angola,8,+1,2 ,,1,5,,0.2,0.06,"
Mar 19 "
176,2020-04-02,Zimbabwe,8,,1 ,,,7,,0.5,0.07,"
Mar 19 "
177,2020-04-02,Saint Kitts and Nevis,8,, ,,,8,,150,,"
Mar 24 "
178,2020-04-02,Sudan,7,,2 ,,2,3,,0.2,0.05,"
Mar 12 "
179,2020-04-02,Antigua and Barbuda,7,, ,,,7,,71,,"
Mar 12 "
180,2020-04-02,Chad,7,, ,,,7,,0.4,,"
Mar 18 "
181,2020-04-02,Cabo Verde,6,,1 ,,,5,,11,2,"
Mar 19 "
182,2020-04-02,Mauritania,6,,1 ,,2,3,,1,0.2,"
Mar 12 "
183,2020-04-02,Vatican City,6,, ,,,6,,"7,491",,"
Mar 05 "
184,2020-04-02,Liberia,6,+3, ,,,6,,1,,"
Mar 15 "
185,2020-04-02,St. Barth,6,, ,,1,5,,607,,"
Feb 29 "
186,2020-04-02,Turks and Caicos,6,+1, ,,,6,,155,,"
Mar 22 "
187,2020-04-02,Nicaragua,5,,1 ,,,4,,0.8,0.2,"
Mar 18 "
188,2020-04-02,Nepal,5,, ,,1,4,,0.2,,"
Jan 23 "
189,2020-04-02,Fiji,5,, ,,,5,,6,,"
Mar 18 "
190,2020-04-02,Montserrat,5,, ,,,5,,"1,002",,"
Mar 17 "
191,2020-04-02,Somalia,5,, ,,1,4,,0.3,,"
Mar 15 "
192,2020-04-02,Botswana,4,,1 ,,,3,,2,0.4,"
Mar 29 "
193,2020-04-02,Gambia,4,,1 ,,2,1,,2,0.4,"
Mar 16 "
194,2020-04-02,Bhutan,4,, ,,,4,,5,,"
Mar 05 "
195,2020-04-02,Belize,3,, ,,,3,,8,,"
Mar 22 "
196,2020-04-02,British Virgin Islands,3,, ,,,3,,99,,"
Mar 24 "
197,2020-04-02,CAR,3,, ,,,3,,0.6,,"
Mar 14 "
198,2020-04-02,Anguilla,2,, ,,,2,,133,,"
Mar 25 "
199,2020-04-02,Burundi,2,, ,,,2,,0.2,,"
Mar 30 "
200,2020-04-02,Caribbean Netherlands,2,+2, ,,,2,,76,,"
Mar 31 "
201,2020-04-02,St. Vincent Grenadines,2,+1, ,,1,1,,18,,"
Mar 10 "
202,2020-04-02,Sierra Leone,2,+1, ,,,2,,0.3,,"
Mar 30 "
203,2020-04-02,Papua New Guinea,1,, ,,,1,,0.1,,"
Mar 19 "
204,2020-04-02,Timor-Leste,1,, ,,,1,,0.8,,"
Mar 20 "
205,2020-04-02,Total:,"935,197","+76,872","47,192","+4,890","193,989","694,016","35,478",120.0,6.1,"
 
"
