0,Date,Country,Total0cases,New0Cases,Total0Deaths,New0Deaths,Total0Recovered,Active0Cases,Serious,Tot0cases0per01M0population,Total0Deaths0per01M0population
149,4/3/2020,Saint0Martin,22,0,1,0,2,19,0,569,26
150,4/3/2020,Eritrea,22,0,0,0,0,22,0,6,0
151,4/3/2020,Gabon,21,0,1,0,1,19,0,9,0.4
152,4/3/2020,Myanmar,20,0,1,0,0,19,0,0.4,0.02
153,4/3/2020,Tanzania,20,0,1,0,3,16,0,0.3,0.02
154,4/3/2020,Maldives,19,0,0,0,13,6,0,35,0
155,4/3/2020,Haiti,18,2,0,0,1,17,0,2,0
156,4/3/2020,New0Caledonia,18,0,0,0,1,17,0,63,0
157,4/3/2020,Libya,17,6,1,0,0,16,0,2,0.1
158,4/3/2020,Syria,16,0,2,0,0,14,0,0.9,0.1
159,4/3/2020,Benin,16,3,0,0,2,14,0,1,0
160,4/3/2020,Equatorial0Guinea,16,1,0,0,1,15,0,11,0
161,4/3/2020,Antigua0and0Barbuda,15,6,0,0,0,15,1,153,0
162,4/3/2020,Guinea-Bissau,15,6,0,0,0,15,0,8,0
163,4/3/2020,Dominica,14,2,0,0,0,14,0,194,0
164,4/3/2020,Mongolia,14,0,0,0,2,12,0,4,0
165,4/3/2020,Namibia,14,0,0,0,3,11,0,6,0
166,4/3/2020,Saint0Lucia,13,0,0,0,1,12,0,71,0
167,4/3/2020,Grenada,12,2,0,0,0,12,2,107,0
168,4/3/2020,Curaçao,11,0,1,0,3,7,0,67,6
169,4/3/2020,Sudan,10,2,2,0,2,6,0,0.2,0.05
170,4/3/2020,Suriname,10,0,1,1,0,9,0,17,2
171,4/3/2020,Greenland,10,0,0,0,3,7,0,176,0
172,4/3/2020,Laos,10,0,0,0,0,10,0,1,0
173,4/3/2020,Mozambique,10,0,0,0,0,10,0,0.3,0
174,4/3/2020,Seychelles,10,0,0,0,0,10,0,102,0
175,4/3/2020,MS0Zaandam,9,0,2,0,0,7,0,0,0
176,4/3/2020,Zimbabwe,9,0,1,0,0,8,0,0.6,0.07
177,4/3/2020,Saint0Kitts0and0Nevis,9,0,0,0,0,9,0,169,0
178,4/3/2020,Eswatini,9,0,0,0,0,9,0,8,0
179,4/3/2020,Angola,8,0,2,0,1,5,0,0.2,0.06
180,4/3/2020,CAR,8,5,0,0,0,8,0,2,0
181,4/3/2020,Chad,8,0,0,0,0,8,0,0.5,0
182,4/3/2020,Fiji,7,0,0,0,0,7,0,8,0
183,4/3/2020,Vatican0City,7,0,0,0,0,7,0,"8,739",0
184,4/3/2020,Liberia,7,1,0,0,0,7,0,1,0
185,4/3/2020,St.0Vincent0Grenadines,7,5,0,0,1,6,0,63,0
186,4/3/2020,Somalia,7,2,0,0,1,6,0,0.4,0
187,4/3/2020,Cabo0Verde,6,0,1,0,0,5,0,11,2
188,4/3/2020,Mauritania,6,0,1,0,2,3,0,1,0.2
189,4/3/2020,Nepal,6,0,0,0,1,5,0,0.2,0
190,4/3/2020,Montserrat,6,1,0,0,0,6,0,"1,202",0
191,4/3/2020,St.0Barth,6,0,0,0,1,5,0,607,0
192,4/3/2020,Nicaragua,5,0,1,0,0,4,0,0.8,0.2
193,4/3/2020,Bhutan,5,0,0,0,2,3,0,6,0
194,4/3/2020,Turks0and0Caicos,5,0,0,0,0,5,0,129,0
195,4/3/2020,Botswana,4,0,1,0,0,3,0,2,0.4
196,4/3/2020,Gambia,4,0,1,0,2,1,0,2,0.4
197,4/3/2020,Belize,4,1,0,0,0,4,0,10,0
198,4/3/2020,Anguilla,3,0,0,0,0,3,0,200,0
199,4/3/2020,British0Virgin0Islands,3,0,0,0,0,3,0,99,0
200,4/3/2020,Burundi,3,0,0,0,0,3,0,0.3,0
201,4/3/2020,Malawi,3,0,0,0,0,3,0,0.2,0
202,4/3/2020,Caribbean0Netherlands,2,0,0,0,0,2,0,76,0
203,4/3/2020,Sierra0Leone,2,0,0,0,0,2,0,0.3,0
204,4/3/2020,Falkland0Islands,1,1,0,0,0,1,0,287,0
205,4/3/2020,Papua0New0Guinea,1,0,0,0,0,1,0,0.1,0
206,4/3/2020,Timor-Leste,1,0,0,0,0,1,0,0.8,0
207,4/3/2020,Total:,"1,098,006","82,941","59,141","5,973","228,405","810,460","39,439",140.9,7.6
