0,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total0Test,Test0test/1M0Population
164,4/5/2020,Antigua0and0Barbuda,15,0,0,0,0,15,1,153,0,40,408
165,4/5/2020,Angola,14,4,2,0,2,10,0,0,0,0,0
166,4/5/2020,Dominica,14,0,0,0,0,14,0,194,0,255,"3,542"
167,4/5/2020,Mongolia,14,0,0,0,2,12,0,4,0,0,0
168,4/5/2020,Saint0Lucia,14,0,0,0,1,13,0,76,0,0,0
169,4/5/2020,Liberia,13,3,3,2,3,7,0,3,1,0,0
170,4/5/2020,Sudan,12,2,2,0,2,8,0,0,0,0,0
171,4/5/2020,Fiji,12,0,0,0,0,12,0,13,0,0,0
172,4/5/2020,Grenada,12,0,0,0,0,12,2,107,0,45,400
173,4/5/2020,Curaçao,11,0,1,0,5,5,0,67,6,0,0
174,4/5/2020,Greenland,11,0,0,0,3,8,0,194,0,542,"9,547"
175,4/5/2020,Laos,11,1,0,0,0,11,0,2,0,604,83
176,4/5/2020,Suriname,10,0,1,0,0,9,0,17,2,0,0
177,4/5/2020,Mozambique,10,0,0,0,1,9,0,0,0,338,11
178,4/5/2020,Saint0Kitts0and0Nevis,10,1,0,0,0,10,0,188,0,149,"2,801"
179,4/5/2020,Seychelles,10,0,0,0,0,10,0,102,0,0,0
180,4/5/2020,MS0Zaandam,9,0,2,0,0,7,0,0,0,0,0
181,4/5/2020,Zimbabwe,9,0,1,0,0,8,0,1,0,316,21
182,4/5/2020,Nepal,9,0,0,0,1,8,0,0,0,"1,521",52
183,4/5/2020,Chad,9,0,0,0,0,9,0,1,0,0,0
184,4/5/2020,Eswatini,9,0,0,0,0,9,0,8,0,0,0
185,4/5/2020,CAR,8,0,0,0,0,8,0,2,0,0,0
186,4/5/2020,Cabo0Verde,7,0,1,0,0,6,0,13,2,0,0
187,4/5/2020,Vatican0City,7,0,0,0,0,7,0,8739,0,0,0
188,4/5/2020,St.0Vincent0Grenadines,7,0,0,0,1,6,0,63,0,0,0
189,4/5/2020,Somalia,7,0,0,0,1,6,0,0,0,0,0
190,4/5/2020,Botswana,6,2,1,0,0,5,0,3,0,966,411
191,4/5/2020,Mauritania,6,0,1,0,2,3,0,1,0,67,14
192,4/5/2020,Nicaragua,6,1,1,0,0,5,0,1,0,0,0
193,4/5/2020,Montserrat,6,0,0,0,0,6,0,1202,0,0,0
194,4/5/2020,St.0Barth,6,0,0,0,1,5,0,607,0,0,0
195,4/5/2020,Sierra0Leone,6,2,0,0,0,6,0,1,0,0,0
196,4/5/2020,Turks0and0Caicos,5,0,1,1,0,4,0,129,26,0,0
197,4/5/2020,Belize,5,1,0,0,0,5,1,13,0,102,257
198,4/5/2020,Bhutan,5,0,0,0,2,3,0,6,0,0,0
199,4/5/2020,Gambia,4,0,1,0,2,1,0,2,0,0,0
200,4/5/2020,Malawi,4,0,0,0,0,4,0,0,0,0,0
201,4/5/2020,Western0Sahara,4,0,0,0,0,4,0,7,0,0,0
202,4/5/2020,Anguilla,3,0,0,0,0,3,0,200,0,0,0
203,4/5/2020,British0Virgin0Islands,3,0,0,0,0,3,0,99,0,0,0
204,4/5/2020,Burundi,3,0,0,0,0,3,0,0,0,0,0
205,4/5/2020,Caribbean0Netherlands,2,0,0,0,0,2,0,76,0,10,381
206,4/5/2020,Falkland0Islands,2,1,0,0,0,2,0,575,0,0,0
207,4/5/2020,Papua0New0Guinea,1,0,0,0,0,1,0,0,0,72,8
208,4/5/2020,Saint0Pierre0Miquelon,1,1,0,0,0,1,0,173,0,0,0
209,4/5/2020,South0Sudan,1,1,0,0,0,1,0,0,0,0,0
210,4/5/2020,Timor-Leste,1,0,0,0,0,1,0,1,0,0,0
211,4/5/2020,Total:,1272861,71408,69424,4737,262217,941220,45619,163,9,0,0
